Scale	 Test 1	 Test 2		Test 3	 Test 4	 Scale
Score	 English Mathematics 	Reading	 Science Score
36 	 75 		59-60	 40	 40	 36
35	 73-74 		57-58	 39 	 39	 35
34	 71-72		55-56 	 38 	 38 	 34
33	 70		54 	 -	 37	 33
32	 69		53	 37	 -	 32
31	 68		52 	 36	 36	 31
30	 67		50-51	 35	 35	 30
29	 66		49	 34	 34	 29
28	 64-65		47-48	 33	 33	 28
27	 62-63		45-46 	 32 	 31-32 	 27
26 	 60-61		43-44	 31	 30	 26
25 	 58-59 		41-42 	 30	 28-29 	 25
24 	 56-57		38-40	 29	 26-27	 24
23 	 53-55		36-37	 27-28	 24-25	 23
22 	 51-52 		34-35	 26	 23	 22
21 	 48-50		33	 25	 21-22	 21
20 	 45-47 		31-32	 23-24	 19-20   20
19 	 42-44		29-30 	 22	 17-18   19
18 	 40-41 		27-28	 20-21	 16	 18
17 	 38-39	 	24-26	 19	 14-15	 17
16 	 35-37 		19-23	 18 	 13	 16
15 	 33-34 		15-18 	 16-17 	 12 	 15
14 	 30-32 		12-14 	 14-15 	 11 	 14
13 	 29 		10-11	 13	 10	 13
12 	 27-28		08-09	 11-12	 09	 12
11 	 25-26 		06-07 	 09-10 	 08	 11
10 	 23-24		05 	 08	 07      10
9 	 20-22 		04 	 07 	 06      9
8 	 17-19 		- 	 06	 05	 8
7 	 14-16 		03 	 05	 04	 7
6 	 11-13		-	 04 	 03	 6
5 	 09-10		02	 03	 -	 5
4 	 06-08		-	 -	 02	 4
3 	 05		01	 02	 01	 3
2 	 03-04		-	 01	 -	 2
1 	 00-02		00	 00	 00	 1
