Scale	 Test 1	 Test 2		Test 3	 Test 4	 Scale
Score	 English Mathematics 	Reading	 Science Score
36 	 75 		60	 40	 40	 36
35	 72-74 		58-59	 39 	 39	 35
34	 71		57 	 38 	 38 	 34
33	 70		55-56 	 37	 37	 33
32	 68-69		54	 35-36	 -	 32
31	 67		52-53 	 34	 36	 31
30	 66		50-51	 33	 35	 30
29	 65		48-49	 32	 34	 29
28	 63-64		45-47	 31	 33	 28
27	 62		43-44 	 30 	 32 	 27
26 	 60-61		40-42	 29	 30-31	 26
25 	 58-59 		38-39 	 28	 28-29 	 25
24 	 56-57		36-37	 27	 26-27	 24
23 	 53-55		34-35	 25-26	 24-25	 23
22 	 51-52 		32-33	 24	 22-23	 22
21 	 48-50		30-31	 22-23	 21	 21
20 	 45-47 		29	 22	 19-20   20
19 	 43-44		27-28 	 19-20	 17-18   19
18 	 41-42 		24-26	 18	 16	 18
17 	 39-40	 	21-23	 17	 14-15	 17
16 	 36-38 		17-20	 15-16 	 13	 16
15 	 32-35 		13-16 	 14 	 12 	 15
14 	 29-31 		11-12 	 12-13 	 11 	 14
13 	 27-28 		08-10	 11	 10	 13
12 	 25-26		07	 09-10	 09	 12
11 	 23-24 		05-06 	 08 	 08	 11
10 	 20-22		04	 06-07	 07 	 10
9 	 18-19 		- 	 - 	 05-06   9
8 	 15-17 		03 	 05	 -	 8
7 	 12-14 		- 	 04 	 04	 7
6 	 10-11		02	 03 	 03	 6
5 	 08-09		-	 -	 02	 5
4 	 06-07		01	 02	 -	 4
3 	 04-05		-	 -	 01	 3
2 	 02-03		-	 01	 -	 2
1 	 00-01		00	 00	 00	 1
